word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24
choice,0.93182,0.15413,-0.1873,-0.49729,0.20192,-1.0042,1.6449,0.0011208,-0.86426,-1.5308,-0.047703,-0.34798,-3.4423,0.1073,-1.1769,-0.09,-1.5032,-0.86535,0.32174,-0.013402,-1.0939,0.89455,-0.42639,0.085454,-0.3289
whole,-0.15789,0.68729,1.0572,0.33385,0.17255,-0.035298,1.4947,-0.79266,-0.40108,0.34744,-0.63247,0.27086,-4.9259,0.31323,0.24046,0.31943,0.94097,-0.053345,-0.19703,0.087532,-0.66799,0.42575,0.50878,-0.082606,-0.31309
following,0.0002795,1.3836,-0.37921,-0.29741,0.23421,-0.86315,1.049,0.06558,-1.2956,0.44363,-0.080866,0.60274,-3.4263,-0.19661,-0.23726,-0.095734,-0.37469,-1.0815,-0.68168,-0.85232,-0.35603,-0.91089,-0.3529,-0.094251,-1.2476
city,-0.47779,0.19399,-0.069769,-1.1541,-1.0235,0.63817,0.35973,0.7739,0.85665,0.053793,0.42562,-0.12539,-4.1404,1.0216,1.0751,-0.44911,-0.21962,-0.539,0.012085,0.096717,-0.95972,-0.20216,-0.29058,-1.4314,0.50032
reason,0.43525,0.41565,-0.0049016,0.33494,-0.093569,0.0231,1.8699,-0.57324,-0.61937,0.11542,-0.90317,0.59846,-4.3689,0.15006,0.03712,0.52517,0.052408,-0.22282,0.57383,-0.55142,0.65294,0.43788,0.37033,0.12756,-0.73918
others,-0.68139,0.30709,-0.31248,0.62341,-0.65668,0.37172,0.57474,-0.78384,0.48395,0.6426,-0.93144,0.17376,-4.1585,0.55153,-0.41908,-0.36601,-0.93856,0.020714,0.8258,-1.0031,0.18399,-0.84823,-1.3379,-0.62645,-0.14321
followback,0.3978,0.8438,-1.2481,-1.1352,0.052795,-1.1779,0.21848,1.715,-1.8464,0.34253,-0.29514,-0.0032596,-1.5478,-0.95187,-1.1135,-0.3357,0.24764,-1.4149,-0.70194,0.079506,-0.4259,-2.1583,-0.15854,1.1291,-0.33922
early,-0.4943,1.4358,0.5366,-0.50304,0.36904,0.41312,1.5158,-0.96094,-0.22152,-0.040996,-0.95084,0.37081,-4.0444,1.0315,0.99579,-0.50991,0.51453,-0.53012,-0.84289,-0.81962,-0.48368,-0.21304,0.65785,0.47714,0.3871
tl,0.96366,0.53984,0.28983,-0.204,0.89558,0.57996,0.13911,1.3295,-0.39567,1.1474,-0.81565,-0.032988,-2.3704,-0.48182,-0.7895,1.0276,-0.46481,-0.69115,-1.667,-0.069257,0.17974,-0.30401,0.21371,0.36128,-0.15262
relationship,-0.39927,0.66388,-0.47117,0.8664,0.84573,0.37485,1.5294,-0.070059,-0.1916,0.00083079,-1.0933,0.5399,-4.1536,0.64795,-0.30818,1.5639,-0.47233,-0.66426,0.95186,-0.54655,0.55923,0.48209,-0.79495,-0.12258,-1.6263
unfollowers,1.7786,1.212,-0.54426,-0.72061,1.1047,-1.5166,0.99957,-1.0071,-1.4551,0.51134,0.53151,-0.16902,-1.4278,0.048445,0.17006,0.67377,0.48524,-0.69588,-0.098418,0.020879,-0.1401,-1.7115,-0.23638,-0.56809,-0.70356
found,-0.37,-0.031164,0.85764,0.038775,-0.11446,-0.61154,1.2447,-0.58161,-0.54986,0.46104,0.88408,0.43118,-4.4458,-0.32534,-0.059401,-0.11956,1.4118,0.66232,0.19906,-0.69259,0.34827,-0.2274,-0.10779,-0.33054,-0.098667
season,0.34853,0.58149,0.36469,-1.1334,-0.31172,0.20243,1.7893,-0.15265,-0.38154,-1.1523,0.26419,0.95886,-3.8735,1.2624,0.93331,-0.29367,-0.58902,-0.72573,-0.54558,0.20116,-1.7377,0.66936,0.39875,-0.12239,0.24632
boa,0.53238,-0.59473,0.86688,-0.39784,0.44804,0.26459,0.64058,0.65221,0.72893,-1.471,-2.2056,-2.3393,-1.4621,-0.47586,-0.36827,-1.2315,-1.4995,-0.30411,-1.794,-0.28414,0.048677,0.21054,-0.6269,1.3211,0.5156
chance,0.36328,0.1269,-0.64457,0.15719,-0.1903,0.19015,0.73801,-0.26004,-0.29243,-1.5073,0.18171,-0.89314,-3.8858,0.57362,-0.26139,0.15957,-0.43473,-0.35002,-1.3865,-0.50309,-0.77255,-0.24452,0.38115,0.66513,-0.87657
beat,0.34217,0.97395,0.12035,-0.46513,-0.8971,0.41443,0.69614,0.42862,0.099945,-0.54373,-0.20615,0.7045,-4.2236,-0.10801,0.54096,-0.31654,-0.020132,-0.85553,-0.10074,0.20079,-0.28642,0.77315,1.2873,-0.97314,0.50418
